    TAD   TAA  DBI   ENV   HAU  LMS  LMI  EMP   POSTE NIVEAU
1  184.0  95.7 34.0 186.0 234.0 76.0 88.3 20.8 gardien    N1A
2  188.0  96.4 37.0 198.0 242.0 80.5 91.6 24.8  arrlat    N1A
3  190.0  97.3 36.0 193.0 240.0 78.5 92.7 22.7  ailier    N1A
4  185.0 103.6 35.0 186.0 229.0 75.5 84.0 25.2   pivot    N1A
5  176.0  93.8 35.0 184.0 227.0 74.5 82.2 21.8  ailier    N1A
6  183.5 100.0 37.0 193.5 238.0 78.2 83.5 22.6 gardien    N1A
7  190.0 103.2 37.0 192.0 242.0 77.5 86.8 22.5 gardien    N1A
8  182.0  96.3 38.0 193.0 232.0 77.5 85.7 25.0   pivot    N1A
9  182.5  99.8 37.0 180.0 226.0 71.5 82.7 22.1   pivot    N1A
10 192.0 100.9 37.0 200.0 246.0 81.5 91.1 26.0  arrlat    N1A
11 181.0  97.0 39.0 190.0 231.0 75.5 84.0 22.1   pivot    N1A
12 195.0 104.1 37.0 203.0 249.0 83.0 90.9 24.2  arrlat    N1A
13 187.0 103.8 37.0 194.0 240.0 78.5 83.2 27.5 arrcent    N1A
14 195.0 100.2 39.0 206.0 251.0 83.5 94.8 24.1  arrlat    N1A
15 178.0  97.5 33.0 180.0 227.0 73.5 80.5 20.2  ailier    N1A
16 196.0 103.5 41.0 197.6 251.0 78.3 92.5 24.8  arrlat     BJ
17 192.2  96.5 39.0 199.0 249.5 80.0 95.7 23.1  arrlat     BJ
18 187.5  98.5 38.0 186.0 241.5 74.0 89.0 21.1 gardien     BJ
19 184.6  95.2 36.0 189.0 238.5 76.5 89.4 21.5  ailier     BJ
20 187.0  97.2 40.0 191.5 237.0 75.7 89.8 25.4  arrlat     BJ
21 198.5 103.5 36.0 193.5 246.3 78.7 95.0 21.5 gardien     BJ
22 174.2  94.5 38.0 176.5 222.3 69.2 79.3 22.6   pivot     BJ
23 196.0 101.6 38.0 193.8 250.3 77.9 94.4 22.2  arrlat     BJ
24 178.2  93.2 36.0 174.5 225.0 69.2 85.0 22.2   pivot     BJ
25 189.0 100.0 40.0 190.8 241.0 75.4 89.0 25.0  arrlat     BJ
26 178.0  94.5 34.5 177.5 228.5 71.5 83.5 22.4  ailier     BJ
27 183.2  98.5 38.0 189.5 233.5 75.7 84.7 24.0  ailier     BJ
28 188.0  96.0 38.0 190.5 243.0 76.2 92.0 22.5 gardien     BJ
29 192.0 101.5 40.0 198.0 244.0 79.0 90.5 25.0  arrlat    N1B
30 190.0 102.0 41.0 201.0 246.0 80.0 88.0 25.5  arrlat    N1B
31 189.0  99.0 35.0 194.0 236.0 79.5 90.0 22.4 gardien    N1B
32 183.0  98.0 37.0 191.0 230.0 77.0 85.0 19.8  ailier    N1B
33 181.5  94.0 37.5 184.5 227.0 73.5 87.5 19.9 arrcent    N1B
34 187.5  98.5 38.5 189.0 232.0 75.2 89.0 22.1  arrlat    N1B
35 181.0  94.0 35.0 186.5 227.0 75.7 87.0 23.9 gardien    N1B
36 180.0  91.5 36.5 185.0 230.0 74.2 88.5 26.0 arrcent    N1B
37 185.0  95.0 37.0 192.5 236.0 77.7 90.0 23.4  arrlat    N1B
38 180.0  95.0 35.5 182.0 224.0 73.2 85.0 23.6 arrcent    N1B
39 173.5  89.0 35.5 183.0 210.0 73.7 84.5 22.3  ailier    N1B
40 180.0  95.0 37.0 184.0 228.0 73.5 85.0 21.0  ailier    N1B
41 180.0  94.5 38.5 184.0 225.0 72.7 85.5 22.3  ailier    N1B
42 175.0  91.0 35.0 182.0 213.0 73.5 84.0 18.5 gardien    N1B
43 175.0  92.5 36.5 185.0 225.0 74.2 82.5 21.9 gardien     N2
44 186.5  95.5 35.0 196.0 238.0 80.5 91.0 21.6 gardien     N2
45 175.0  93.5 34.0 183.5 223.0 74.7 81.5 21.9   pivot     N2
46 174.5  93.0 36.0 176.0 223.0 70.0 81.5 22.1  ailier     N2
47 173.0  91.5 35.5 178.0 220.0 71.2 81.5 23.4  ailier     N2
48 178.5  91.0 36.5 182.0 228.0 73.0 87.5 21.2   pivot     N2
49 183.5  98.0 39.5 185.0 234.0 72.7 85.5 21.2  ailier     N2
50 173.0  94.0 39.0 180.0 223.0 70.5 79.0 23.5   pivot     N2
51 180.0  94.0 36.0 185.0 227.0 74.5 86.0 20.4 gardien     N2
52 179.5  95.0 38.5 186.5 230.0 74.0 84.5 21.7  arrlat     N2
53 189.0  97.5 36.0 192.5 239.0 78.2 91.5 23.2  arrlat     N2
54 183.0  95.0 37.0 183.0 225.0 73.0 88.0 22.8 arrcent     N2
55 194.0 100.0 37.0 194.0 233.0 78.5 94.0 22.9  arrlat     N2
56 186.0  94.0 37.5 200.0 230.0 81.2 92.0 25.4   pivot     N2
57 179.0  96.0 35.0 181.0 216.0 73.0 83.0 22.6  ailier     N2
58 182.0  97.0 40.0 188.0 221.0 74.0 85.0 21.8  arrlat     N2
59 170.0  91.5 39.5 178.0 203.0 69.2 78.5 22.3   pivot     N2
60 182.0  99.5 36.0 186.0 218.0 75.0 82.5 22.4  arrlat     N2
61 175.0  95.0 31.5 176.0 213.0 72.2 80.0 23.7  ailier     N2
62 177.0  95.5 33.0 183.0 214.0 75.0 81.5 23.2  ailier     N2
63 178.0  97.0 36.0 187.0 220.0 75.5 81.0 22.9  arrlat     N2
64 174.0  94.0 36.0 177.0 208.0 70.5 80.0 22.4 gardien     N2
