age	Q5_lieu	Q6_niveau	Q_renonce
30	Pistes et Bords de pistes	Débrouillée	Mauvaise météo
41	Pistes	Débrouillée	Mauvaise matériel
31	Pistes	Débutante	Trop de monde
17	Pistes	Confirmée	Trop de monde
23	Pistes	Débrouillée	NA
40	Pistes	Débrouillée	Mauvaise météo
45	Pistes	Débrouillée	Mauvaise météo
44	Pistes et Bords de pistes	Experte	Mauvaise météo
15	Pistes	Débutante	Ne renonce jamais
42	Pistes	Débrouillée	NA
44	Pistes	Débrouillée	Mauvaise météo
37	Pistes	Débutante	Mauvaise météo
37	Pistes et Bords de pistes	Confirmée	Mauvaise météo
21	Pistes	Confirmée	Mauvaise météo
22	Pistes	Débutante	Trop de monde
54	Pistes	Confirmée	Trop de monde
43	Pistes	Débrouillée	Mauvaise météo
45	Pistes	Confirmée	Mauvaise météo
20	Pistes	Confirmée	Ne renonce jamais
41	Pistes	Experte	Trop de monde
11	Pistes	Confirmée	Mauvaise météo
37	Pistes	Experte	Mauvaise météo
58	Pistes	Débrouillée	Mauvaise neige
41	Pistes	Débutante	Mauvaise météo
43	Pistes	Débutante	Trop de monde
18	Pistes et Bords de pistes	Débrouillée	Mauvaise matériel
41	Pistes	Débrouillée	Mauvaise météo
41	Pistes	Débrouillée	Ne renonce jamais
17	Pistes et Bords de pistes	Débrouillée	Mauvaise météo
60	Pistes	Confirmée	Mauvaise météo
39	Pistes	Débrouillée	Mauvaise météo
46	Pistes	Débutante	Mauvaise matériel
17	Pistes	Débrouillée	Trop de monde
22	Pistes	Débrouillée	Ne renonce jamais
18	Pistes	Débrouillée	Mauvaise météo
42	Pistes	Débrouillée	Mauvaise matériel
21	Pistes	Débrouillée	Ne renonce jamais
61	Pistes	Débrouillée	Mauvaise météo
19	Pistes	Confirmée	Ne renonce jamais
43	Pistes	Débrouillée	Mauvaise météo
18	Pistes et Bords de pistes	Confirmée	Ne renonce jamais
49	Pistes	Débrouillée	Mauvaise neige
17	Pistes et Bords de pistes	Confirmée	Mauvaise neige
16	Pistes et Bords de pistes	Débrouillée	Ne renonce jamais
42	Pistes et Bords de pistes	Experte	Mauvaise neige
46	Pistes	Débrouillée	Mauvaise neige
40	Pistes et Bords de pistes	Confirmée	Mauvaise météo
15	Pistes	Débrouillée	Mauvaise neige
34	Pistes et Bords de pistes	Confirmée	Mauvaise météo
40	Pistes	Confirmée	Ne renonce jamais
47	Pistes	Experte	Mauvaise météo
37	Pistes	Débrouillée	Mauvaise météo
40	Pistes et Bords de pistes	Débrouillée	NA
40	Pistes	Confirmée	Mauvaise météo
42	Pistes	Débrouillée	Mauvaise météo
53	Pistes	Experte	Mauvaise météo
40	Pistes et Bords de pistes	Confirmée	Mauvaise météo
22	Pistes et Bords de pistes	Confirmée	Mauvaise neige
51	Pistes et Bords de pistes	Confirmée	Mauvaise neige
29	Pistes	Débrouillée	Mauvaise météo
53	Pistes	Débutante	Trop de monde
14	Pistes	Débrouillée	Ne renonce jamais
55	Pistes	Débrouillée	Mauvaise météo
39	Pistes	Débrouillée	Mauvaise météo
18	Pistes	Débrouillée	Mauvaise météo
24	Pistes	Débrouillée	Mauvaise météo
38	Pistes	Débrouillée	Trop de monde
39	Pistes	Débrouillée	Mauvaise météo
41	Pistes	Débrouillée	Mauvaise météo
40	Pistes	Débrouillée	Mauvaise météo
46	Pistes	Confirmée	Mauvaise météo
17	Pistes	Confirmée	Mauvaise météo
47	Pistes	Confirmée	Mauvaise météo
45	Pistes et Bords de pistes	Experte	Mauvaise neige
52	Pistes	Confirmée	Mauvaise météo
55	Pistes	Confirmée	Mauvaise météo
17	Pistes et Bords de pistes	Confirmée	Ne renonce jamais
65	Pistes	Débrouillée	Mauvaise météo
26	Pistes et Bords de pistes	Débrouillée	Mauvaise météo
43	Pistes	Confirmée	Mauvaise matériel
48	Pistes	Confirmée	Mauvaise météo
33	Pistes	Confirmée	Ne renonce jamais
15	Pistes	Confirmée	Mauvaise météo
44	Pistes	Confirmée	Mauvaise météo
36	Pistes et Bords de pistes	Débrouillée	Mauvaise neige
21	Pistes	Débutante	Mauvaise météo
43	Pistes	Débrouillée	Mauvaise matériel
57	Pistes	Confirmée	Mauvaise météo
37	Pistes	Débrouillée	Mauvaise météo
29	Pistes	Débutante	Ne renonce jamais
46	Pistes	Débrouillée	Mauvaise neige
17	Pistes et Bords de pistes	Confirmée	Trop de monde
24	Pistes	Débrouillée	Ne renonce jamais
34	Pistes	Confirmée	Mauvaise météo
58	Pistes	Débutante	Mauvaise météo
47	Pistes	Confirmée	Mauvaise météo
62	Pistes	Débrouillée	Mauvaise météo
42	Pistes	Débrouillée	Mauvaise météo
15	Pistes	Débrouillée	Mauvaise météo
40	Pistes	Débutante	Mauvaise météo
61	Pistes	Débrouillée	Ne renonce jamais
